"X.reg_id","X.operator","X.airplane_damage","X.location","X.phase","X.nature","X.departure_airport","X.destination_airport","X.time_period","X.year","X.month","X.day","X.old","X.nb_engines","X.crew.fatalities","X.crew.occupants","X.passengers.fatalities","X.passengers.occupants","X.crew.ratio","X.passengers.ratio","X.brand"
"C-GRXZ","Sonicblue Airways","Damaged beyond repair","Canada","En route","Domestic Scheduled Passenger","Canada","Canada","afternoon",2006,"January","Saturday",11,1,1,1,2,7,1,0.285714285714286,"Cessna"
"N814ER","Flite Services","Damaged beyond repair","United States of America","Landing","Executive","United States of America","United States of America","morning",2006,"February","Wednesday",31,2,0,2,0,2,0,0,"Cessna"
"N266EB","Jon Kraut","Destroyed","United States of America","Landing","Private","United States of America","United States of America","evening",2006,"February","Friday",29,2,1,1,5,5,1,1,"Beechcraft"
"N3735W","Air Cargo Carriers","Damaged beyond repair","United States of America","En route","Test","United States of America","United States of America","afternoon",2006,"February","Sunday",18,2,2,2,1,1,1,1,"Short"
"N372AC","Air Cargo Carriers","Substantial","United States of America","En route","Test","United States of America","United States of America","afternoon",2006,"February","Sunday",19,2,0,2,0,1,0,0,"Short"
"N629EK","TriCoastal Air","Destroyed","United States of America","En route","Cargo","United States of America","United States of America","afternoon",2006,"February","Wednesday",26,2,1,1,0,0,1,0,"Swearingen"
"F-OVJR","Develton Ltd.","Substantial","Germany","En route","Executive","Russia","United Kingdom","evening",2006,"February","Wednesday",38,2,0,3,0,3,0,0,"Dassault Falcon"
"PK-LMW","Lion Air","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2006,"March","Saturday",20,2,0,6,0,138,0,0,"Douglas"
"YV-1149C","Servicios A̩reos Sucre - SASCA","Damaged beyond repair","Venezuela","En route","Passenger","Venezuela","Venezuela","afternoon",2006,"March","Sunday",8,1,0,2,0,11,0,0,"Cessna"
"VT-DKC","Air Deccan","Damaged beyond repair","India","Landing","Domestic Scheduled Passenger","India","India","morning",2006,"March","Saturday",1,2,0,4,0,40,0,0,"ATR"
"7T-VJQ","Air Alg̩rie","Substantial","Spain","Landing","Int'l Non Scheduled Passenger","Algeria","Spain","morning",2006,"March","Saturday",4,2,0,6,0,101,0,0,"Boeing"
"N54RP","Ameriflight","Damaged beyond repair","United States of America","En route","Cargo","United States of America","United States of America","afternoon",2006,"March","Saturday",23,2,2,2,0,0,1,0,"Beechcraft"
"N58EM","Bankair","Substantial","United States of America","Takeoff","Cargo","United States of America","United States of America","morning",2006,"March","Wednesday",30,2,0,2,0,0,0,0,"Learjet"
"HC-BXD","ATESA (Aerotaxis Ecuatorianos SA)","Damaged beyond repair","Ecuador","Initial climb","Domestic Scheduled Passenger","Ecuador","Ecuador","morning",2006,"March","Friday",9,1,0,2,5,12,0,0.416666666666667,"Cessna"
"N208WE","Cessna Aircraft","Damaged beyond repair","United States of America","En route","Demonstration","United States of America","United States of America","afternoon",2006,"March","Tuesday",0,1,2,2,0,0,1,0,"Cessna"
"5A-DKR","Community of Sahel-Saharan States CEN-SAD","Damaged beyond repair","Russia","Landing","Ferry/positioning","Libya","Russia","evening",2006,"March","Wednesday",16,4,0,6,0,0,0,0,"Ilyushin"
"PT-FSE","TEAM Transportes A̩reos","Destroyed","Brazil","En route","Domestic Scheduled Passenger","Brazil","Brazil","afternoon",2006,"March","Friday",15,2,2,2,17,17,1,1,"Let"
"5H-ZBZ","Mission Aviation Fellowship","Substantial","Tanzania","Landing","Domestic Non Scheduled Passenger","Tanzania","Tanzania","morning",2006,"April","Thursday",15,1,0,1,0,8,0,0,"Cessna"
"FAB-91","Transporte A̩reo Militar - TAM","Damaged beyond repair","Bolivia","Landing","Domestic Scheduled Passenger","Bolivia","Bolivia","morning",2006,"April","Sunday",28,2,0,4,1,27,0,0.037037037037037,"Fokker"
"JY-JAS","Jordan Aviation","Substantial","Egypt","Landing","Executive","Jordan","Egypt","afternoon",2006,"April","Thursday",28,2,0,3,0,0,0,0,"Sabreliner"
"C-GLPP","United Nations - UN","Substantial","Liberia","Landing","Domestic Non Scheduled Passenger","Liberia","Liberia","afternoon",2006,"May","Monday",25,4,0,3,0,37,0,0,"de Havilland Canada"
"EK32009","Armavia","Destroyed","Russia","Approach","International Scheduled Passenger","Armenia","Russia","evening",2006,"May","Wednesday",11,2,8,8,105,105,1,1,"Airbus"
"C-GSKJ","Saskatchewan Government Northern Air Operations","Destroyed","Canada","En route","Training","Canada","Canada","afternoon",2006,"May","Sunday",52,2,1,3,0,0,0.333333333333333,0,"Convair"
"S9-BAL","Air Ṣo Tom̩ & Principe","Damaged beyond repair","Sao Tome and Principe","En route","Training","Sao Tome and Principe","Sao Tome and Principe","evening",2006,"May","Tuesday",27,2,2,2,2,2,1,1,"de Havilland Canada"
"N182K","International Jet Charter","Damaged beyond repair","United States of America","Approach","Domestic Non Scheduled Passenger","United States of America","United States of America","afternoon",2006,"June","Friday",26,2,2,2,0,3,1,0,"Learjet"
"9N-AEQ","Yeti Airlines","Destroyed","Nepal","Approach","Domestic Scheduled Passenger","Nepal","Nepal","afternoon",2006,"June","Wednesday",26,2,3,3,6,6,1,1,"de Havilland Canada"
"N486SB","Aero Charter Services","Damaged beyond repair","United States of America","Landing","Private","United States of America","United States of America","evening",2006,"June","Saturday",5,2,0,1,1,2,0,0.5,"Cessna"
"9N-AFE","Yeti Airlines","Substantial","Nepal","Landing","Cargo","Nepal","Nepal","afternoon",2006,"July","Monday",26,2,0,3,0,0,0,0,"de Havilland Canada"
"PK-KKW","AdamAir","Destroyed","Indonesia","En route","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2007,"January","Monday",18,2,6,6,96,96,1,1,"Boeing"
"C-GFFN","Transwest Air","Destroyed","Canada","Approach","Ambulance","Canada","Canada","evening",2007,"January","Sunday",33,2,1,2,0,2,0.5,0,"Beechcraft"
"N444TW","Ameristar Jet Charter","Destroyed","Mexico","Approach","Cargo","United States of America","Mexico","evening",2007,"January","Tuesday",30,2,2,2,0,0,1,0,"Learjet"
"C-FBIP","Peace Air","Damaged beyond repair","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","morning",2007,"January","Tuesday",19,2,0,2,0,10,0,0,"British Aerospace"
"N77215","SunQuest Executive Air Charter","Destroyed","United States of America","Initial climb","Ferry/positioning","United States of America","United States of America","morning",2007,"January","Friday",11,2,2,2,0,0,1,0,"Cessna"
"N82FA","Brooks Air Fuel","Damaged beyond repair","United States of America","En route","Cargo","United States of America","United States of America","afternoon",2007,"January","Wednesday",62,4,0,2,0,0,0,0,"Douglas"
"N699CZ","Freight Runners Express","Substantial","United States of America","Taxi","Cargo","United States of America","United States of America","evening",2007,"January","Wednesday",38,2,0,1,0,0,0,0,"Beechcraft"
"EC-IBM","Air Nostrum","Substantial","Spain","Landing","Domestic Scheduled Passenger","Spain","Spain","afternoon",2007,"January","Wednesday",6,2,0,4,0,40,0,0,"Canadair"
"F-GMPG","R̩gional Compagnie A̩rienne Europ̩enne","Substantial","France","Takeoff","Domestic Scheduled Passenger","France","France","morning",2007,"January","Thursday",16,2,0,4,0,50,0,0,"Fokker"
"N17337","America West Express","Minor","United States of America","En route","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2007,"January","Thursday",8,2,0,4,0,50,0,0,"Canadair"
"F-HALS","Alsair","Substantial","Switzerland","Landing","International Scheduled Passenger","France","Switzerland","afternoon",2007,"January","Thursday",8,2,0,2,0,13,0,0,"Beechcraft"
"HK-4277","TAMPA Colombia","Minor","United States of America","Landing","Cargo","Colombia","United States of America","evening",2007,"February","Sunday",39,4,0,3,0,0,0,0,"Douglas"
"N45MF","Metro Aviation","Substantial","United States of America","En route","Ambulance","United States of America","United States of America","evening",2007,"February","Tuesday",30,2,1,1,2,2,1,1,"Beechcraft"
"VQ-TIU","Air Turks & Caicos (2003)","Damaged beyond repair","Turks and Caicos Islands","Initial climb","Domestic Scheduled Passenger","Turks and Caicos Islands","Turks and Caicos Islands","evening",2007,"February","Tuesday",18,2,1,1,0,5,1,0,"Beechcraft"
"N1116Y","Suburban Air Freight","Damaged beyond repair","United States of America","Approach","Cargo","United States of America","United States of America","evening",2007,"February","Thursday",14,1,0,1,0,0,0,0,"Cessna"
"C-GKCJ","Air Inuit","Minor","Canada","Landing","Passenger","Canada","Canada","morning",2007,"February","Sunday",27,2,0,2,0,5,0,0,"de Havilland Canada"
"N168CK","Fort Aero","Damaged beyond repair","Russia","Takeoff","Ferry/positioning","Russia","Germany","afternoon",2007,"February","Tuesday",11,2,0,3,0,0,0,0,"Canadair"
"N862RW","Shuttle America / Delta Connection","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2007,"February","Sunday",2,2,0,4,0,71,0,0,"Embraer"
"PK-KKV","AdamAir","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2007,"February","Wednesday",13,2,0,7,0,148,0,0,"Boeing"
"D-ILFB","LFH Luftverkehr Friesland Harle","Damaged beyond repair","Estonia","Approach","Domestic Scheduled Passenger","Estonia","Estonia","afternoon",2007,"March","Saturday",13,2,0,1,0,2,0,0,"Britten Norman"
"EW-78826","Transaviaexport Airlines","Damaged beyond repair","Somalia","Landing","Cargo","Uganda","Somalia","morning",2007,"March","Friday",17,4,0,9,0,6,0,0,"Ilyushin"
"JA849A","All Nippon Airways - ANA","Substantial","Japan","Landing","Domestic Scheduled Passenger","Japan","Japan","morning",2007,"March","Tuesday",2,2,0,4,0,56,0,0,"de Havilland Canada"
"RA-65021","UTAir","Destroyed","Russia","Landing","Domestic Scheduled Passenger","Russia","Russia","morning",2007,"March","Saturday",31,2,0,7,6,50,0,0.12,"Tupolev"
"N511AT","Air Trek","Substantial","United States of America","Landing","Ambulance","United States of America","United States of America","afternoon",2007,"March","Saturday",33,2,0,4,0,2,0,0,"Cessna"
"N129KJ","XOJet","Substantial","United States of America","Landing","Ferry/positioning","United States of America","United States of America","evening",2007,"March","Friday",7,3,0,3,0,0,0,0,"Dassault Falcon"
"D6-CAK","Comores Aviation","Substantial","Comoros","Takeoff","Domestic Scheduled Passenger","Comoros","Comoros","morning",2007,"April","Monday",23,2,0,2,0,13,0,0,"Let"
"VH-SGT","Network Aviation Australia","Substantial","Australia","Landing","Domestic Non Scheduled Passenger","Australia","Australia","afternoon",2007,"April","Monday",32,2,0,1,0,9,0,0,"Beechcraft"
"C6-BFN","Bahamasair","Substantial","Bahamas","Landing","Domestic Scheduled Passenger","Bahamas","Bahamas","afternoon",2007,"April","Friday",18,2,0,3,0,48,0,0,"de Havilland Canada"
"N22HP","Hamilton Ranches Inc.","Damaged beyond repair","United States of America","Approach","Executive","United States of America","United States of America","morning",2007,"May","Thursday",21,2,1,1,1,1,1,1,"Cessna"
"742/F-RACB","Multinational Force and Observers - MFO","Destroyed","Egypt","En route","Military","Egypt","Egypt","morning",2007,"May","Sunday",26,2,2,2,7,7,1,1,"de Havilland Canada"
"TN-AHE","SAFE Air Company","Damaged beyond repair","Congo","Initial climb","Cargo","Congo","Congo","morning",2007,"May","Thursday",22,2,2,2,1,1,1,1,"Let"
"C-FRIL","Air Canada Jazz","Damaged beyond repair","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","afternoon",2007,"May","Sunday",13,2,0,3,0,37,0,0,"Canadair"
"FAP-303","Fuerza A̩rea del Peru - FAP","Damaged beyond repair","Peru","En route","Domestic Non Scheduled Passenger","Peru","Peru","afternoon",2007,"May","Thursday",31,2,3,3,10,17,1,0.588235294117647,"de Havilland Canada"
"N898AT","Brooks Air Fuel","Destroyed","United States of America","Landing","Cargo","United States of America","United States of America","morning",2007,"May","Wednesday",61,4,0,2,0,0,0,0,"Aviation Traders"
"N550BP","Marlin Air","Destroyed","United States of America","En route","Ambulance","United States of America","United States of America","afternoon",2007,"June","Monday",26,2,2,2,4,4,1,1,"Cessna"
"N914DD","Trishan Air","Substantial","United States of America","Takeoff","Executive","United States of America","United States of America","afternoon",2007,"June","Sunday",17,3,0,2,0,13,0,0,"Dassault Falcon"
"N731BE","American Eagle Airlines","Minor","United States of America","Landing","International Scheduled Passenger","Canada","United States of America","morning",2007,"June","Wednesday",7,2,0,3,0,37,0,0,"Embraer"
"EX-901","Kyrgyzstan Government","Damaged beyond repair","Kyrgyzstan","Landing","Aerial Work (Calibration, Photo)","Kyrgyzstan","Kyrgyzstan","morning",2007,"June","Saturday",33,3,0,4,0,9,0,0,"Yakovlev"
"XU-U4A","PMT Air","Destroyed","Cambodia","En route","Domestic Scheduled Passenger","Cambodia","Cambodia","morning",2007,"June","Monday",38,2,6,6,16,16,1,1,"Antonov"
"D2-TBP","TAAG Angola Airlines","Destroyed","Angola","Landing","Domestic Scheduled Passenger","Angola","Angola","afternoon",2007,"June","Thursday",22,2,1,7,4,71,0.142857142857143,0.0563380281690141,"Boeing"
"N771HR","IHR Administrative Services","Destroyed","United States of America","Landing","Private","United States of America","United States of America","afternoon",2007,"June","Saturday",33,2,1,1,0,1,1,0,"Cessna"
"VT-JCE","Jet Airways","Substantial","India","Landing","Domestic Scheduled Passenger","India","India","evening",2007,"July","Sunday",7,2,0,4,0,49,0,0,"ATR"
"N208EC","Lancton Taverns Ltd.","Destroyed","Ireland","Approach","Domestic Non Scheduled Passenger","Ireland","Ireland","afternoon",2007,"July","Thursday",2,1,1,1,1,8,1,0.125,"Cessna"
"C-FAWC","Liard Air","Destroyed","Canada","Initial climb","Domestic Non Scheduled Passenger","Canada","Canada","afternoon",2007,"July","Sunday",39,2,0,2,1,3,0,0.333333333333333,"de Havilland Canada"
"PT-MFK","Pantanal Linhas A̩reas Sul-Matogrossenses","Substantial","Brazil","Landing","Domestic Scheduled Passenger","Brazil","Brazil","afternoon",2007,"July","Monday",16,2,0,4,0,21,0,0,"ATR"
"PR-MBK","TAM Linhas A̩reas","Destroyed","Brazil","Landing","Domestic Scheduled Passenger","Brazil","Brazil","evening",2007,"July","Tuesday",9,2,6,6,181,181,1,1,"Airbus"
"HK-4455","Aero Rep̼blica","Substantial","Colombia","Landing","Domestic Scheduled Passenger","Colombia","Colombia","afternoon",2007,"July","Tuesday",0,2,0,6,0,54,0,0,"Embraer"
"YV2081","Transaven","Damaged beyond repair","Venezuela","En route","Domestic Scheduled Passenger","Venezuela","Venezuela","morning",2008,"January","Friday",21,2,2,2,12,12,1,1,"Let"
"G-YMMM","British Airways","Substantial","United Kingdom","Landing","International Scheduled Passenger","China","United Kingdom","afternoon",2008,"January","Thursday",7,2,0,16,0,136,0,0,"Boeing"
"19","Polish Air Force","Damaged beyond repair","Poland","Approach","Military","Poland","Poland","evening",2008,"January","Wednesday",1,2,4,4,16,16,1,1,"CASA"
"HK-2006","VIARCO","Substantial","Colombia","Landing","Domestic Non Scheduled Passenger","Colombia","Colombia","afternoon",2008,"January","Thursday",62,2,0,3,0,10,0,0,"Douglas"
"PK-VSE","Dirgantara Air Services","Destroyed","Indonesia","En route","Cargo","Indonesia","Indonesia","morning",2008,"January","Saturday",15,2,3,3,0,0,1,0,"CASA"
"HK-3997","AIRES Colombia","Substantial","Colombia","Landing","International Scheduled Passenger","Venezuela","Colombia","evening",2008,"January","Monday",14,2,0,4,0,37,0,0,"de Havilland Canada"
"CP-2429","Lloyd A̩reo Boliviano - LAB","Damaged beyond repair","Bolivia","Approach","Domestic Scheduled Passenger","Bolivia","Bolivia","morning",2008,"February","Friday",28,3,0,8,0,151,0,0,"Boeing"
