"X.reg_id","X.operator","X.airplane_damage","X.location","X.phase","X.nature","X.departure_airport","X.destination_airport","X.time_period","X.year","X.month","X.day","X.old","X.nb_engines","X.crew.fatalities","X.crew.occupants","X.passengers.fatalities","X.passengers.occupants","X.crew.ratio","X.passengers.ratio","X.brand"
"RA-12957","Moskovia Airlines","Destroyed","Russia","Approach","Ferry/positioning","Russia","Russia","afternoon",2008,"May","Monday",40,4,7,7,2,2,1,1,"Antonov"
"EI-TAF","TACA International Airlines","Damaged beyond repair","Honduras","Landing","International Scheduled Passenger","El Salvador","Honduras","morning",2008,"May","Friday",8,2,1,6,2,118,0.166666666666667,0.0169491525423729,"Airbus"
"N102VE","SkyDive Greensburg","Substantial","United States of America","Landing","Parachuting","United States of America","United States of America","morning",2008,"June","Sunday",11,1,0,1,0,14,0,0,"Cessna"
"CC-CTR","Patagonia Airlines","Substantial","Chile","En route","Domestic Scheduled Passenger","Chile","Chile","afternoon",2008,"June","Saturday",3,1,1,1,0,9,1,0,"Cessna"
"ST-ATN","Sudan Airways","Destroyed","Sudan","Landing","International Scheduled Passenger","Syria","Sudan","evening",2008,"June","Tuesday",18,2,1,11,29,203,0.0909090909090909,0.142857142857143,"Airbus"
"N656WA","Wiggins Airways","Destroyed","United States of America","Takeoff","Cargo","United States of America","United States of America","morning",2008,"June","Wednesday",41,2,1,1,0,0,1,0,"de Havilland Canada"
"N815MA","Caribair, S.A.","Substantial","United States of America","Landing","Executive","Dominican Republic","United States of America","evening",2009,"January","Sunday",27,2,0,2,0,5,0,0,"Cessna"
"C-GEAJ","ALCI Aviation","Substantial","Antarctica","Landing","Cargo","Antarctica","Antarctica","evening",2009,"January","Sunday",66,2,0,3,0,1,0,0,"Basler"
"N106US","US Airways","Damaged beyond repair","United States of America","Initial climb","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2009,"January","Thursday",10,2,0,5,0,150,0,0,"Airbus"
"YR-TIG","Ion Tiriac Air","Damaged beyond repair","Romania","Landing","Executive","Romania","Romania","afternoon",2009,"January","Friday",10,2,0,2,0,10,0,0,"IAI"
"C-GNAA","SkyNorth Air","Substantial","Canada","Approach","Ferry/positioning","Canada","Canada","evening",2009,"January","Friday",40,2,0,2,0,0,0,0,"Beechcraft"
"OE-GAA","Tyrol Air Ambulance","Substantial","Russia","Landing","Executive","Russia","Russia","evening",2009,"January","Tuesday",18,2,0,2,0,2,0,0,"Cessna"
"PT-SEA","Manaus AerotÃ¡xi","Damaged beyond repair","Brazil","En route","Domestic Scheduled Passenger","Brazil","Brazil","afternoon",2009,"February","Saturday",28,2,2,2,22,26,1,0.846153846153846,"Embraer"
"N200WQ","Colgan Air","Destroyed","United States of America","Approach","Domestic Scheduled Passenger","United States of America","United States of America","evening",2009,"February","Thursday",1,2,5,5,44,44,1,1,"de Havilland Canada"
"VP-BAF","Laret Aviation","Destroyed","Switzerland","Landing","Executive","Austria","Switzerland","afternoon",2009,"February","Thursday",22,2,2,2,0,1,1,0,"Dassault Falcon"
"SX-SKY","Sky Express","Substantial","Greece","Landing","Domestic Scheduled Passenger","Greece","Greece","afternoon",2009,"February","Thursday",21,2,0,3,0,15,0,0,"British Aerospace"
"G-BXAR","BA CityFlyer","Damaged beyond repair","United Kingdom","Landing","International Scheduled Passenger","Netherlands","United Kingdom","evening",2009,"February","Friday",12,4,0,5,0,67,0,0,"Avro"
"N440RA","Arctic Transportation Services","Substantial","United States of America","Landing","Cargo","United States of America","United States of America","morning",2009,"February","Saturday",29,2,0,2,0,0,0,0,"CASA"
"TC-JGE","THY Turkish Airlines","Destroyed","Netherlands","Approach","International Scheduled Passenger","Turkey","Netherlands","morning",2009,"February","Wednesday",7,2,4,7,5,128,0.571428571428571,0.0390625,"Boeing"
"C-FSLZ","Perimeter Airlines (Inland)","Minor","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","afternoon",2009,"March","Tuesday",33,2,0,2,0,8,0,0,"Swearingen"
"VT-XRM","National Aerospace Laboratories (NAL)","Destroyed","India","En route","Test","India","India","afternoon",2009,"March","Friday",3,2,3,3,0,0,1,0,"National Aerospace Laboratories"
"PK-LIL","Lion Air","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2009,"March","Monday",12,2,0,6,0,166,0,0,"Douglas"
"A6-ERG","Emirates Airlines","Substantial","Australia","Takeoff","International Scheduled Passenger","Australia","United Arab Emirates","evening",2009,"March","Friday",5,4,0,18,0,257,0,0,"Airbus"
"YV1181","LÃ­nea TurÃ­stica Aereotuy - LTA","Damaged beyond repair","Venezuela","Takeoff","Domestic Non Scheduled Passenger","Venezuela","Venezuela","afternoon",2009,"April","Friday",11,1,0,2,1,10,0,0.1,"Cessna"
"C-FTCZ","CanJet Airlines","None","Jamaica","Standing","Int'l Non Scheduled Passenger","Canada","Jamaica","evening",2009,"April","Sunday",9,2,0,8,0,174,0,0,"Boeing"
"CN-RNT","Royal Air Maroc - RAM","Substantial","United States of America","Landing","International Scheduled Passenger","Morocco","United States of America","afternoon",2009,"April","Monday",7,2,0,10,0,210,0,0,"Boeing"
"XA-MAF","Magnicharters","Substantial","Mexico","Landing","Domestic Scheduled Passenger","Mexico","Mexico","afternoon",2009,"April","Monday",28,2,0,8,0,108,0,0,"Boeing"
"TL-ADM","Bako Air","Damaged beyond repair","Congo","En route","Ferry/positioning","Congo","Zimbabwe","night",2009,"April","Wednesday",28,2,2,2,5,5,1,1,"Boeing"
"N311US","Northwest Airlines","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2009,"May","Monday",19,2,0,7,0,147,0,0,"Airbus"
"N139WA","World Airways","Substantial","United States of America","Landing","Domestic Non Scheduled Passenger","Germany","United States of America","afternoon",2009,"May","Wednesday",30,3,0,12,0,168,0,0,"Douglas"
"D-FOLE","OLT Ostfriesische Lufttransport","Substantial","Germany","Approach","Cargo","Germany","Germany","morning",2009,"May","Wednesday",13,1,0,1,0,1,0,0,"Cessna"
"EP-MCR","Iran Air Tours","Substantial","Iran","En route","Domestic Scheduled Passenger","Iran","Iran","morning",2009,"May","Friday",23,3,0,12,0,157,0,0,"Tupolev"
"HZ-APW","Saudi Arabian Airlines","Substantial","Saudi Arabia","Landing","Ferry/positioning","Saudi Arabia","Saudi Arabia","afternoon",2009,"May","Friday",10,2,0,7,0,0,0,0,"Douglas"
"PR-MOZ","Santa Coloma Investimentos e ParticipaÃ§Ãµes Ltda.","Destroyed","Brazil","Approach","Executive","Brazil","Brazil","evening",2009,"May","Friday",10,2,2,2,12,12,1,1,"Beechcraft"
"AP-BHO","Pakistan International Airlines - PIA","Substantial","Pakistan","Landing","Domestic Scheduled Passenger","Pakistan","Pakistan","evening",2009,"May","Saturday",2,2,0,4,0,43,0,0,"ATR"
"8Q-MAG","Maldivian Air Taxi","Damaged beyond repair","Maldives","Landing","Aerial Work (Calibration, Photo)","Maldives","Maldives","morning",2009,"June","Tuesday",40,2,0,3,0,4,0,0,"de Havilland Canada"
"SE-GEE","Skydive Airlines","Substantial","Sweden","Taxi","Parachuting","Sweden","Sweden","evening",2009,"June","Wednesday",36,2,0,1,0,21,0,0,"de Havilland Canada"
"C-FJJR","Strait Air","Destroyed","Canada","Approach","Ambulance","Canada","Canada","night",2009,"June","Sunday",34,2,1,1,0,0,1,0,"Britten Norman"
"HZ-ANB","Saudi Arabian Airlines","Substantial","Sudan","Landing","Cargo","Saudi Arabia","Sudan","night",2009,"June","Tuesday",12,3,0,4,0,0,0,0,"Douglas"
"ZS-PNZ","Aviation Asset Management (Pty) Ltd","Substantial","South Africa","Landing","Ambulance","South Africa","South Africa","morning",2009,"June","Wednesday",18,2,0,2,0,2,0,0,"Beechcraft"
"HK-4094","TAC - Transporte AÃ©reo de Colombia","Substantial","Colombia","Landing","Domestic Non Scheduled Passenger","Colombia","Colombia","afternoon",2009,"June","Friday",23,2,0,2,0,16,0,0,"Let"
"PK-BRO","Aviastar Mandiri","Destroyed","Indonesia","En route","Cargo","Indonesia","Indonesia","afternoon",2009,"June","Monday",28,2,3,3,0,0,1,0,"de Havilland Canada"
"7O-ADJ","Yemenia Airways","Destroyed","Comoros","Approach","International Scheduled Passenger","Yemen","Comoros","morning",2009,"June","Tuesday",19,2,11,11,141,142,1,0.992957746478873,"Airbus"
"ZK-LOU","Great Barrier Airlines (New Zealand)","Substantial","New Zealand","Initial climb","Domestic Scheduled Passenger","New Zealand","New Zealand","afternoon",2009,"July","Sunday",37,3,0,1,0,10,0,0,"Britten Norman"
"ZK-LOU","Great Barrier Airlines","Substantial","New Zealand","Initial climb","Domestic Scheduled Passenger","New Zealand","New Zealand","afternoon",2009,"July","Sunday",37,3,0,1,0,10,0,0,"Britten Norman"
"N227ML","Locair","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2010,"January","Saturday",28,2,0,2,0,1,0,0,"Swearingen"
"N720RA","Royal Air Freight","Destroyed","United States of America","Approach","Ferry/positioning","United States of America","United States of America","afternoon",2010,"January","Tuesday",33,2,2,2,0,0,1,0,"Learjet"
"C6-SBE","SkyBahamas Airlines","Substantial","Bahamas","Standing","Domestic Scheduled Passenger","Bahamas","Bahamas","morning",2010,"January","Thursday",23,2,0,2,0,0,0,0,"Saab"
"XA-WAC","AeromÃ©xico Connect","Substantial","Mexico","Landing","Domestic Scheduled Passenger","Mexico","Mexico","afternoon",2010,"January","Thursday",10,2,0,3,0,36,0,0,"Embraer"
"N112AX","ACE Air Cargo","Destroyed","United States of America","Initial climb","Cargo","United States of America","United States of America","evening",2010,"January","Thursday",22,2,2,2,0,0,1,0,"Beechcraft"
"LX-OCV","Cargolux","Minor","Luxembourg","Landing","Cargo","Spain","Luxembourg","afternoon",2010,"January","Thursday",11,4,0,2,0,1,0,0,"Boeing"
"ET-ANB","Ethiopian Airlines","Destroyed","Lebanon","Initial climb","International Scheduled Passenger","Lebanon","Ethiopia","evening",2010,"January","Monday",8,2,8,8,82,82,1,1,"Boeing"
"PT-TAF","Piquiatuba TÃ¡xi AÃ©reo","Damaged beyond repair","Brazil","Approach","Domestic Non Scheduled Passenger","Brazil","Brazil","afternoon",2010,"January","Monday",34,2,1,2,1,8,0.5,0.125,"Embraer"
"4L-IFE","Manunggal Air","Substantial","Indonesia","Landing","Cargo","Indonesia","Indonesia","afternoon",2010,"January","Thursday",28,2,0,3,0,0,0,0,"Antonov"
"PK-YRP","Trigana Air Service","Substantial","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","morning",2010,"February","Thursday",23,2,0,6,0,46,0,0,"ATR"
"XA-SHJ","MexicanaClick","Substantial","Mexico","Landing","Domestic Scheduled Passenger","Mexico","Mexico","evening",2010,"February","Thursday",19,2,0,4,0,92,0,0,"Fokker"
"OK-ACH","Time Air","Destroyed","Germany","En route","Ferry/positioning","Czech Republic","Sweden","evening",2010,"February","Sunday",5,2,2,2,0,0,1,0,"Cessna"
"N207DR","Grant Aviation","Substantial","United States of America","En route","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2010,"February","Wednesday",10,1,0,1,0,7,0,0,"Cessna"
"N892FE","FedEx Express","Substantial","United States of America","Approach","Cargo","United States of America","United States of America","evening",2010,"February","Thursday",20,1,0,1,0,0,0,0,"Cessna"
"N663SA","Servant Air","Damaged beyond repair","United States of America","Takeoff","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2010,"March","Monday",43,2,0,1,0,2,0,0,"Britten Norman"
"SP-FDO","DHL Airways","Substantial","Estonia","Landing","Cargo","Finland","Estonia","morning",2010,"March","Thursday",30,2,0,6,0,0,0,0,"Antonov"
"VH-ANB","Airnorth","Destroyed","Australia","Initial climb","Training","Australia","Australia","morning",2010,"March","Monday",22,2,2,2,0,0,1,0,"Embraer"
"RA-64011","Aviastar-TU","Destroyed","Russia","Approach","Ferry/positioning","Egypt","Russia","evening",2010,"March","Monday",17,2,0,8,0,0,0,0,"Tupolev"
"5Y-BLA","Aircraft Leasing Services - ALS","Substantial","Kenya","Landing","Ferry/positioning","Somalia","Kenya","afternoon",2010,"March","Sunday",30,2,0,2,0,0,0,0,"Beechcraft"
"101","Polish Air Force","Destroyed","Russia","Approach","Official state flight","Poland","Russia","morning",2010,"April","Saturday",20,3,8,8,88,88,1,1,"Tupolev"
"PK-MDE","Merpati Nusantara Airlines","Damaged beyond repair","Indonesia","Landing","Domestic Scheduled Passenger","Indonesia","Indonesia","morning",2010,"April","Tuesday",20,2,0,7,0,103,0,0,"Boeing"
"XA-TUE","AeroUnion - Aerotransporte de Carga Union","Destroyed","Mexico","Approach","Cargo","Mexico","Mexico","evening",2010,"April","Tuesday",31,2,5,5,0,0,1,0,"Airbus"
"B-HLL","Cathay Pacific Airways","Minor","Hong Kong","Landing","International Scheduled Passenger","Indonesia","Hong Kong","afternoon",2010,"April","Tuesday",12,2,0,13,0,309,0,0,"Airbus"
"9N-ABX","Nepal Airlines","Minor","Nepal","Landing","Domestic Scheduled Passenger","Nepal","Nepal","morning",2010,"April","Monday",25,2,0,2,0,16,0,0,"de Havilland Canada"
"UP-AN216","Interisland Airlines","Destroyed","Philippines","En route","Cargo","Philippines","Philippines","evening",2010,"April","Wednesday",47,4,3,6,0,0,0.5,0,"Antonov"
"F-OIAN","Air AlizÃ©","Substantial","Fiji","Landing","Ferry/positioning","New Caledonia","Fiji","evening",2010,"April","Monday",5,2,0,2,0,2,0,0,"Beechcraft"
"F-GLIF","Trans HÃ©licoptÃ¨re Service - THS","Substantial","Niger","Landing","Private","Niger","Niger","evening",2010,"April","Tuesday",36,2,0,2,0,8,0,0,"Beechcraft"
"HK-4536","SATENA","Damaged beyond repair","Colombia","Landing","Domestic Scheduled Passenger","Colombia","Colombia","morning",2010,"May","Wednesday",5,2,0,5,0,37,0,0,"Embraer"
"PZ-TSV","Blue Wing Airlines","Damaged beyond repair","Suriname","En route","Domestic Scheduled Passenger","Suriname","Suriname","afternoon",2010,"May","Saturday",20,2,2,2,6,6,1,1,"Antonov"
"YA-PIS","Pamir Airways","Destroyed","Afghanistan","En route","Domestic Scheduled Passenger","Afghanistan","Afghanistan","morning",2010,"May","Monday",38,2,6,6,38,38,1,1,"Antonov"
"CN-RMF","Royal Air Maroc - RAM","Substantial","Netherlands","Takeoff","International Scheduled Passenger","Netherlands","Morocco","evening",2010,"June","Sunday",20,2,0,6,0,156,0,0,"Boeing"
"ENBV-0063","EjÃ©rcito Venezolana","Destroyed","Venezuela","En route","Military","Venezuela","Venezuela","morning",2010,"June","Saturday",10,2,3,3,0,0,1,0,"PZL Mielec"
"ZS-ZOC","West Cape Ferries","Substantial","South Africa","Landing","Domestic Non Scheduled Passenger","South Africa","South Africa","morning",2010,"June","Sunday",31,2,0,2,0,13,0,0,"Swearingen"
"XA-TWK","Servicios AÃ©reos Milenio","Damaged beyond repair","Mexico","Initial climb","Executive","Mexico","Mexico","afternoon",2010,"June","Monday",8,1,2,2,7,7,1,1,"Cessna"
"YU-BSG","Prince Aviation","Damaged beyond repair","Croatia","Landing","Executive","Albania","Croatia","afternoon",2010,"June","Tuesday",8,2,0,3,0,2,0,0,"Cessna"
"N847HK","United Express","Substantial","Canada","Landing","International Scheduled Passenger","United States of America","Canada","afternoon",2010,"June","Wednesday",6,2,0,3,0,33,0,0,"Embraer"
"D-CXXX","Air Service Berlin","Damaged beyond repair","Germany","Initial climb","Domestic Non Scheduled Passenger","Germany","Germany","afternoon",2010,"June","Saturday",66,2,0,3,0,25,0,0,"Douglas"
"TN-AFA","AÃ©ro-Service","Destroyed","Cameroon","En route","Domestic Non Scheduled Passenger","Cameroon","Congo","morning",2010,"June","Saturday",31,2,2,2,9,9,1,1,"CASA"
"D-ALCQ","Lufthansa Cargo","Destroyed","Saudi Arabia","Landing","Cargo","Germany","Saudi Arabia","morning",2010,"July","Tuesday",17,3,0,2,0,0,0,0,"Douglas"
"N6JR","Roush Fenway Racing LLC","Destroyed","United States of America","Landing","Executive","United States of America","United States of America","evening",2010,"July","Tuesday",4,2,0,1,0,1,0,0,"Raytheon"
"RA-85588","Kolavia","Destroyed","Russia","Standing","Domestic Scheduled Passenger","Russia","Russia","afternoon",2011,"January","Saturday",28,3,0,8,3,126,0,0.0238095238095238,"Tupolev"
"C-GSAU","Saskatchewan Government Northern Air Operations","Substantial","Canada","Landing","Ambulance","Canada","Canada","afternoon",2011,"January","Monday",4,2,0,1,0,2,0,0,"Beechcraft"
"N800GP","Priester Aviation","Damaged beyond repair","United States of America","Landing","Executive","United States of America","United States of America","morning",2011,"January","Thursday",33,2,0,2,0,4,0,0,"Learjet"
"N715HE","Hageland Aviation Services","Substantial","United States of America","Landing","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2011,"January","Thursday",14,1,0,2,0,4,0,0,"Cessna"
"EP-IRP","Iran Air","Destroyed","Iran","Approach","Domestic Scheduled Passenger","Iran","Iran","evening",2011,"January","Sunday",37,3,10,11,67,94,0.909090909090909,0.712765957446808,"Boeing"
"9M-AHH","AirAsia","Substantial","Malaysia","Landing","Domestic Scheduled Passenger","Malaysia","Malaysia","evening",2011,"January","Monday",3,2,0,6,0,123,0,0,"Airbus"
"ZS-SGX","Safair","Substantial","South Africa","Taxi","Domestic Non Scheduled Passenger","South Africa","South Africa","evening",2011,"January","Monday",30,2,0,3,0,0,0,0,"Boeing"
"5X-FFD","Fly540","Substantial","Kenya","Takeoff","Test","Kenya","Kenya","afternoon",2011,"January","Thursday",35,2,0,4,0,0,0,0,"Fokker"
"OD-SKY","Sky Lounge Services","Destroyed","Iraq","Initial climb","Executive","Iraq","Turkey","afternoon",2011,"February","Friday",5,2,3,3,4,4,1,1,"Hawker"
"C-FWAX","Wasaya Airways","Substantial","Canada","Landing","Domestic Scheduled Passenger","Canada","Canada","afternoon",2011,"February","Wednesday",14,2,0,2,0,13,0,0,"Beechcraft"
"PK-ZAI","Sabang Merauke Raya Air Charter","Damaged beyond repair","Indonesia","En route","Test","Indonesia","Indonesia","afternoon",2011,"February","Saturday",31,2,2,2,3,3,1,1,"CASA"
"N535GA","Gulfstream Aerospace","Substantial","United States of America","Landing","Test","United States of America","United States of America","afternoon",2011,"February","Monday",1,2,0,2,0,1,0,0,"Gulfstream"
"PR-TTI","TRIP Linhas AÃ©reas","Substantial","Brazil","Landing","Domestic Scheduled Passenger","Brazil","Brazil","evening",2011,"February","Monday",16,2,0,4,0,47,0,0,"ATR"
"CP-2473","LÃ­nea AÃ©rea Amaszonas","Substantial","Bolivia","Landing","Domestic Scheduled Passenger","Bolivia","Bolivia","afternoon",2011,"February","Sunday",18,2,0,2,0,6,0,0,"Swearingen"
"S5-BAX","GIO Business Aviation","Substantial","Italy","Takeoff","Ambulance","Italy","Italy","evening",2011,"March","Wednesday",27,2,0,2,0,1,0,0,"Cessna"
"TF-JMB","FlugfÃ©lag Ãslands - Air Iceland","Substantial","Greenland","Landing","International Scheduled Passenger","Greenland","Greenland","afternoon",2011,"March","Friday",19,2,0,3,0,31,0,0,"de Havilland Canada"
"N157KM","Desert Sand Aircraft Leasing","Destroyed","United States of America","Approach","Test","United States of America","United States of America","morning",2011,"March","Tuesday",44,2,2,2,0,0,1,0,"de Havilland Canada"
"N849BM","Carde Equipment Sales LLC","Destroyed","United States of America","Initial climb","Executive","United States of America","United States of America","morning",2011,"March","Wednesday",30,2,1,1,4,5,1,0.8,"Beechcraft"
"TN-AGK","Trans Air Congo","Damaged beyond repair","Congo","Approach","Cargo","Congo","Congo","afternoon",2011,"March","Monday",48,4,4,4,5,5,1,1,"Antonov"
"B-7026","Zhong Fei General Aviation Company (CFGAC)","Missing","China","En route","Survey/research","China","China","evening",2011,"March","Monday",30,2,3,3,0,0,1,0,"Cessna"
"C-GMCW","Black Sheep Aviation & Cattle Company","Destroyed","Canada","En route","Cargo","Canada","Canada","afternoon",2011,"March","Thursday",55,1,1,1,0,0,1,0,"de Havilland Canada"
"N632SW","Southwest Airlines","Minor","United States of America","En route","Domestic Scheduled Passenger","United States of America","United States of America","afternoon",2011,"April","Friday",15,2,0,5,0,117,0,0,"Boeing"
"C-FDKM","Fugro Aviation Canada","Destroyed","Canada","Approach","Survey/research","Canada","Canada","evening",2011,"April","Friday",30,2,1,3,0,0,0.333333333333333,0,"CASA"
"N122AN","Vertol Systems Company","Substantial","United States of America","En route","Private","United States of America","United States of America","afternoon",2011,"April","Monday",34,1,0,1,0,2,0,0,"Antonov"
"F-GZCB","Air France","Substantial","Venezuela","Landing","International Scheduled Passenger","France","Venezuela","afternoon",2011,"April","Wednesday",10,2,0,13,0,202,0,0,"Airbus"
"B-2078","China Cargo Airlines","Substantial","Denmark","Landing","Cargo","China","Denmark","afternoon",2011,"April","Sunday",1,2,0,4,0,0,0,0,"Boeing"
"N208TF","Martinaire","Substantial","United States of America","Standing","Cargo","United States of America","United States of America","evening",2011,"April","Tuesday",14,1,0,1,0,0,0,0,"Cessna"
"UR-DNK","Dniproavia","Substantial","Russia","Landing","International Scheduled Passenger","Ukraine","Russia","afternoon",2011,"April","Thursday",14,2,0,4,0,30,0,0,"Embraer"
"VT-NES","Northeast Shuttles","Substantial","India","Landing","Domestic Non Scheduled Passenger","India","India","morning",2011,"May","Wednesday",3,1,0,1,0,9,0,0,"Cessna"
"PK-MZK","Merpati Nusantara Airlines","Destroyed","Indonesia","Approach","Domestic Scheduled Passenger","Indonesia","Indonesia","afternoon",2011,"May","Saturday",4,2,6,6,19,19,1,1,"Xian"
"N786SR","North Slope Borough","Substantial","United States of America","Approach","Ambulance","United States of America","United States of America","evening",2011,"May","Monday",29,2,0,1,0,2,0,0,"Beechcraft"
"LV-CEJ","SOL LÃ­neas AÃ©reas","Destroyed","Argentina","En route","Domestic Scheduled Passenger","Argentina","Argentina","evening",2011,"May","Wednesday",26,2,3,3,19,19,1,1,"Saab"
"N707AR","Omega Air Refueling","Destroyed","United States of America","Takeoff","Military","United States of America","United States of America","afternoon",2011,"May","Wednesday",42,4,0,3,0,0,0,0,"Boeing"
"N224MD","JetSuite","Substantial","United States of America","Landing","Domestic Non Scheduled Passenger","United States of America","United States of America","afternoon",2011,"May","Wednesday",2,2,0,2,0,3,0,0,"Embraer"
"N168TT","James Teng & Sons","Substantial","United States of America","Landing","Private","Russia","United States of America","evening",2011,"June","Wednesday",4,2,0,1,0,1,0,0,"Eclipse"
"D-IOLO","OLT Ostfriesische Lufttransport","Substantial","Germany","Landing","Domestic Scheduled Passenger","Germany","Germany","morning",2011,"June","Wednesday",3,2,0,1,0,6,0,0,"Britten Norman"
"N600UA","Universal Airlines, Inc.","Substantial","United States of America","Landing","Ferry/positioning","United States of America","United States of America","evening",2011,"June","Sunday",55,4,0,4,0,0,0,0,"Douglas"
"N15L","Dynamic Avlease","Substantial","United States of America","En route","Ferry/positioning","United States of America","United States of America","afternoon",2011,"June","Wednesday",37,2,0,2,0,0,0,0,"Beechcraft"
"C-GRIS","Skycharter","Substantial","Canada","Landing","Ferry/positioning","Canada","Canada","afternoon",2011,"June","Friday",38,2,0,2,0,0,0,0,"Dassault Falcon"
"RA-65691","RusLine","Destroyed","Russia","Approach","Domestic Scheduled Passenger","Russia","Russia","evening",2011,"June","Monday",31,2,8,9,39,43,0.888888888888889,0.906976744186046,"Tupolev"
"C-FMCB","Missinippi Airways","Destroyed","Canada","Takeoff","Domestic Scheduled Passenger","Canada","Canada","afternoon",2011,"July","Monday",6,1,0,1,1,8,0,0.125,"Cessna"
"RA-47302","Angara Airlines","Damaged beyond repair","Russia","En route","Domestic Scheduled Passenger","Russia","Russia","morning",2011,"July","Monday",36,2,0,4,7,33,0,0.212121212121212,"Antonov"
"SP-LFH","Eurolot","Damaged beyond repair","Poland","Taxi","Domestic Scheduled Passenger","Poland","Poland","evening",2011,"July","Thursday",16,2,0,4,0,33,0,0,"ATR"
"5N-BMM","Bristow Helicopters","Damaged beyond repair","Nigeria","Landing","Domestic Non Scheduled Passenger","Nigeria","Nigeria","evening",2011,"July","Thursday",3,2,0,2,0,4,0,0,"Cessna"
"EI-SLM","Aer Arann","Substantial","Ireland","Landing","International Scheduled Passenger","United Kingdom","Ireland","morning",2011,"July","Sunday",17,2,0,4,0,21,0,0,"ATR"
"9Y-PBM","Caribbean Airlines","Damaged beyond repair","Guyana","Landing","International Scheduled Passenger","Trinidad and Tobago","Guyana","morning",2011,"July","Saturday",4,2,0,6,0,156,0,0,"Boeing"
"EC-ITU","Air Nostrum","Substantial","Spain","Landing","Domestic Scheduled Passenger","Spain","Spain","afternoon",2011,"July","Saturday",8,2,0,3,0,35,0,0,"Canadair"
"RA-46561","IrAero","Damaged beyond repair","Russia","Landing","Domestic Scheduled Passenger","Russia","Russia","afternoon",2011,"August","Monday",35,2,0,5,0,36,0,0,"Antonov"
"5Y-BSA","Blue Sky Aviation","Substantial","Kenya","Takeoff","Domestic Scheduled Passenger","Kenya","Kenya","evening",2012,"January","Thursday",23,2,0,2,0,4,0,0,"Let"
"8Q-MAT","Maldivian Air Taxi","Substantial","Maldives","Landing","Domestic Scheduled Passenger","Maldives","Maldives","afternoon",2012,"February","Thursday",44,2,0,3,0,9,0,0,"de Havilland Canada"
"G-EZFV","easyJet","Minor","United Kingdom","Landing","International Scheduled Passenger","Portugal","United Kingdom","afternoon",2012,"February","Tuesday",2,2,0,6,0,142,0,0,"Airbus"
"XY-AIT","Air KBZ","Substantial","Myanmar","Landing","Domestic Scheduled Passenger","Myanmar","Myanmar","morning",2012,"February","Friday",14,2,0,4,0,50,0,0,"ATR"
"N288CX","Asia Today Ltd.","Destroyed","Germany","Approach","Executive","Austria","Germany","evening",2012,"March","Thursday",9,2,2,2,3,3,1,1,"Cessna"
"G-CCPW","Manx2","Substantial","United Kingdom","Landing","Domestic Scheduled Passenger","United Kingdom","United Kingdom","afternoon",2012,"March","Thursday",25,2,0,2,0,12,0,0,"British Aerospace"
"FAP-317","Fuerza AÃ©rea del Peru - FAP","Substantial","Peru","Landing","Domestic Non Scheduled Passenger","Peru","Peru","morning",2012,"March","Friday",41,2,0,3,0,8,0,0,"de Havilland Canada"
"5630","Royal Norwegian Air Force - RNoAF","Destroyed","Sweden","En route","Military","Norway","Sweden","afternoon",2012,"March","Thursday",2,4,4,4,1,1,1,1,"Lockheed"
"N7700T","private","Destroyed","United States of America","Landing","Private","United States of America","United States of America","afternoon",2012,"March","Thursday",30,2,1,1,4,4,1,1,"Cessna"
"AEE-503","AviaciÃ³n del EjÃ©rcito Ecuatoriana - AEE","Substantial","Ecuador","Takeoff","Military","Ecuador","Ecuador","afternoon",2012,"March","Friday",8,2,0,2,0,33,0,0,"CASA"
"5H-MWG","Air Tanzania","Damaged beyond repair","Tanzania","Takeoff","Domestic Scheduled Passenger","Tanzania","Tanzania","morning",2012,"April","Monday",15,2,0,4,0,35,0,0,"de Havilland Canada"
"G-ZAPZ","Titan Airways","Substantial","France","Takeoff","Int'l Non Scheduled Passenger","France","United Kingdom","afternoon",2012,"April","Saturday",21,2,0,5,0,131,0,0,"Boeing"
"5Y-SRJ","Sky Relief Services","Damaged beyond repair","South Sudan","Landing","Cargo","Kenya","South Sudan","afternoon",2012,"April","Sunday",44,2,0,3,0,0,0,0,"Fokker"
"AP-BKC","Bhoja Airlines","Destroyed","Pakistan","Approach","Domestic Scheduled Passenger","Pakistan","Pakistan","evening",2012,"April","Friday",28,2,6,6,121,121,1,1,"Boeing"
"3X-GEB","Jubba Airways","Damaged beyond repair","Somalia","Landing","Domestic Scheduled Passenger","Somalia","Somalia","afternoon",2012,"April","Saturday",39,2,0,4,0,32,0,0,"Antonov"
